instruction,context,response,category
Does serum HCV RNA titer at the end of interferon therapy predict the long-term outcome of treatment?,"Serum HCV RNA was quantitated by the competitive polymerase chain reaction before, at the end of, and after interferon therapy. We assessed whether serum HCV RNA titer at the end of interferon therapy predicts the long-term outcome of treatment. Of 71 patients treated with various doses of interferons, 21 became negative for HCV RNA persistently during follow up of 2 years, and they were considered as complete responders. The serial determinations of HCV RNA titer for each individual showed that in patients with HCV RNA negative at the end of therapy, the complete response rate was quite high (78.6%), while in patients with HCV RNA titer > or = 10(4) copies/ml at the end of therapy, none became complete responders in long-term follow up. The percentage decreasing to < or = 10(2) copies/ml of HCV RNA at termination of interferon tended to be higher in patients with genotype 2a (14/21, 66.7%) than in those with genotype 1b (18/42, 42.9%). The complete response rate of patients whose viral load was < or = 10(2) copies/ml at termination of interferon was significantly higher in genotype 2a (11/14, 78.6%) than in genotype 1b (5/18, 27.8%) (p < 0.01). Pretreatment HCV RNA titer appeared to correlate to the titer at the end of therapy (r = 0.596, p < 0.001); even when HCV RNA decreased to < or = 10(2) copies/ml, the higher pretreatment titer indicated a lower likelihood of complete response (p < 0.05).","These results indicate that HCV genotype and pretreatment viral titer are important factors in the response to interferon therapy. In addition, our study suggests that it is possible to stop interferon therapy at an appropriate time by monitoring HCV RNA titer.",closed_qa
Does oral Vaccination with Attenuated Salmonella typhimurium-Delivered TsPmy DNA Vaccine elicit Protective Immunity against Trichinella spiralis in BALB/c Mice?,"Our previous studies showed that Trichinella spiralis paramyosin (TsPmy) is an immunomodulatory protein that inhibits complement C1q and C8/C9 to evade host complement attack. Vaccination with recombinant TsPmy protein induced protective immunity against T. spiralis larval challenge. Due to the difficulty in producing TsPmy as a soluble recombinant protein, we prepared a DNA vaccine as an alternative approach in order to elicit a robust immunity against Trichinella infection. The full-length TsPmy coding DNA was cloned into the eukaryotic expression plasmid pVAX1, and the recombinant pVAX1/TsPmy was transformed into attenuated Salmonella typhimurium strain SL7207. Oral vaccination of mice with this attenuated Salmonella-delivered TsPmy DNA vaccine elicited a significant mucosal sIgA response in the intestine and a systemic IgG antibody response with IgG2a as the predominant subclass. Cytokine analysis also showed a significant increase in the Th1 (IFN-γ, IL-2) and Th2 (IL-4, 5, 6, 10) responses in lymphocytes from the spleen and MLNs of immunized mice upon stimulation with TsPmy protein. The expression of the homing receptors CCR9/CCR10 on antibody secreting B cells may be related to the translocation of IgA-secreted B cells to local intestinal mucosa. The mice immunized with Salmonella-delivered TsPmy DNA vaccine produced a significant 44.8% reduction in adult worm and a 46.6% reduction in muscle larvae after challenge with T. spiralis larvae.",Our results demonstrated that oral vaccination with TsPmy DNA delivered by live attenuated S. typhimurium elicited a significant local IgA response and a mixed Th1/Th2 immune response that elicited a significant protection against T. spiralis infection in mice.,closed_qa
Does gDNF induce recovery of the nigrostriatal dopaminergic system in the rat brain following intracerebroventricular or intraparenchymal administration?,"Glial cell line-derived neurotrophic factor (GDNF) has been shown to be a survival and neuroprotective factor for nigrostriatal dopaminergic neurons in vivo. The present study was designed to investigate the possible neuroprotective and restorative role by GDNF for dopaminergic neurons which were exposed to the neurotoxin 6-hydroxydopamine (6-OHDA). We compared neurochemical, morphological and behavioural changes following striatal infusion of GDNF to those following intracerebroventricular (i.c.v.) infusion. Apomorphine-induced rotation showed significant recovery after both types of infusion. Significant recovery of tyrosine hydroxylase (TH)-immunoreactive (IR) neurons and fibers were found in the substantia nigra and striatum following both striatum and i.c.v. infusion except for the number of TH-IR neurons in the i.c.v. infusion group.","These results suggest that GDNF induces recovery of the nigrostriatal dopaminergic system, and this indicates a potential usefulness of GDNF for the treatment of Parkinson's disease.",closed_qa
Does inhibition of neutrophil migration by hemopexin lead to increased mortality due to sepsis in mice?,"The reduction of neutrophil migration to the bacterial focus is associated with poor outcome in sepsis. The objective of this study was to identify soluble substances in the blood of septic mice that inhibit neutrophil migration. A pool of serum obtained from mice 2 hours after the induction of severe sepsis by cecal ligation and puncture inhibited the neutrophil migration. The proteins with inhibitory activity on neutrophil migration were isolated by Blue-Sepharose chromatography, high-performance liquid chromatography, and electrophoresis, and identified by mass spectrometry. Hemopexin was identified as the serum component responsible for the inhibition of neutrophil migration. In sepsis, the pretreatment of wild-type mice with hemopexin inhibited neutrophil migration to the focus of infection and decreased the survival rate from 87.5 to 50.0%. Hemopexin-null mice subjected to severe sepsis presented normal neutrophil migration, low bacteremia, and an improvement of 40% in survival rate. Moreover, hemopexin inhibited the neutrophil chemotaxis response evoked by C5a or macrophage inflammatory protein-2 and induced a reduction of CXCR2 and L-selectin as well as the up-regulation of CD11b expression in neutrophil membranes. The inhibitory effect of hemopexin on neutrophil chemotaxis was prevented by serine protease inhibitors or ATP. In addition, serum levels of ATP were decreased 2 hours after severe sepsis.",These data demonstrate for the first time the inhibitory role of hemopexin in neutrophil migration during sepsis and suggest that the therapeutic inhibition of hemopexin or its protease activity could improve neutrophil migration to the focus of infection and survival in sepsis.,closed_qa
"Is thymidine phosphorylase expression associated with time to progression in patients receiving low-dose , docetaxel-modulated capecitabine for metastatic breast cancer?","Preclinical data have indicated a synergistic interaction between docetaxel and capecitabine by means of taxane-induced up-regulation of thymidine phosphorylase (TP). On the basis of such premises, we conducted a phase II trial to determine the activity and tolerability of weekly docetaxel plus capecitabine in patients with metastatic breast cancer (MBC). Furthermore, we explored the relationship between TP tumor expression and benefit from this regimen. Patients received docetaxel 36 mg/m(2) i.v. on days 1, 8, and 15 and capecitabine orally 625 mg/m(2) b.i.d. from days 8 to 21. Cycles were repeated every 4 weeks. In the correlative study, we evaluated the TP expression by immunohistochemistry and the TP messenger RNA expression by real-time RT-PCR in the primary tumor. Forty-seven women were enrolled. In the intention-to-treat analysis, objective responses were achieved in 24 patients (51%). Fourteen additional patients (30%) had stable disease. The median time to progression (TTP) was 6 months (range 1-44 months). Median survival was 17 months (range 1-48 months). Overall, the treatment was well tolerated. The most common clinical adverse events (all grades) were alopecia (55%), nail changes (53%), fatigue/asthenia (51%), nausea/vomiting (51%), neutropenia (49%), and neuropathy (49%). A significantly higher TTP was observed in patients with TP-positive tumors (log-rank test, P = 0.009). Interestingly, a subgroup analysis confirmed this TTP benefit in patients with TP-positive tumors obtaining a tumor response (log-rank test, P = 0.03), whereas the statistical significance was lost in nonresponders (log-rank test, P = 0.3).",This study indicates that a regimen with low doses of capecitabine plus weekly docetaxel is active against MBC. The correlative analysis provides preliminary evidence that TP expression may be a predictive marker for therapeutic benefit.,closed_qa
Do gABA and valproate modulate trigeminovascular nociceptive transmission in the thalamus?,"To study the role of GABA receptors in thalamic relay neurons in the ventroposteromedial (VPM) nucleus of the rat activated by a trigeminovascular nociceptive stimulus in relationship to migraine, and the potential modulation of nociceptive transmission by GABA acting anti-convulsants. Trigeminovascular nociceptive afferents were identified in the VPM by electrical stimulation of the superior sagittal sinus (SSS), and cell bodies identified by activation with L-glutamate. The effect of GABA, valproate and gabapentin ejection during SSS stimulation and microiontophoresis of L-glutamate was studied. GABA responses were characterized with the selective GABA(A) and GABA(B) agonists muscimol and baclofen, respectively, and the antagonists bicuculline (GABA(A)) and hydroxysaclofen (GABA(B)). GABA inhibited the response to SSS stimulation and L-glutamate ejection. Both the selective GABA(A) receptor agonist muscimol, and the GABA(B) agonist baclofen strongly inhibited the post-synaptic response to L-glutamate. This inhibition could be antagonised by co-ejection of the appropriate antagonist. The post-synaptic inhibitory action of GABA on the cell bodies of third order neurons could be partially antagonised by co-ejection of bicuculline but not by hydroxysaclofen. Valproate inhibited the responses to SSS stimulation and L-glutamate ejection. Bicuculline, but not hydroxysaclofen, was able to antagonise the effect of valproate on both responses to L-glutamate and SSS stimulation. Gabapentin did not alter the responses to L-glutamate and SSS stimulation.","These results indicate that GABA(A) and GABA(B) receptors on thalamic neurons can modulate trigeminovascular nociceptive transmission in the VPM nucleus. Sodium valproate can inhibit trigeminovascular nociception at the level of VPM through GABA(A) receptor mechanisms, whereas gabapentin does not alter trigeminovascular nociception.",closed_qa
Does interleukin-1 receptor antagonist modulate the early phase of liver regeneration after partial hepatectomy in mice?,"Cytokine administration is a potential therapy for acute liver failure by reducing inflammatory responses and favour hepatocyte regeneration. The aim of this study was to evaluate the role of interleukin-1 receptor antagonist (IL-1ra) during liver regeneration and to study the effect of a recombinant human IL-1ra on liver regeneration. We performed 70%-hepatectomy in wild type (WT) mice, IL-1ra knock-out (KO) mice and in WT mice treated by anakinra. We analyzed liver regeneration at regular intervals by measuring the blood levels of cytokines, the hepatocyte proliferation by bromodeoxyuridin (BrdU) incorporation, proliferating cell nuclear antigen (PCNA) and Cyclin D1 expression. The effect of anakinra on hepatocyte proliferation was also tested in vitro using human hepatocytes. At 24h and at 48 h after hepatectomy, IL-1ra KO mice had significantly higher levels of pro-inflammatory cytokines (IL-6, IL-1β and MCP-1) and a reduced and delayed hepatocyte proliferation measured by BrdU incorporation, PCNA and Cyclin D1 protein levels, when compared to WT mice. IGFBP-1 and C/EBPβ expression was significantly decreased in IL-1ra KO compared to WT mice. WT mice treated with anakinra showed significantly decreased levels of IL-6 and significantly higher hepatocyte proliferation at 24h compared to untreated WT mice. In vitro, primary human hepatocytes treated with anakinra showed significantly higher proliferation at 24h compared to hepatocytes without treatment.",IL1ra modulates the early phase of liver regeneration by decreasing the inflammatory stress and accelerating the entry of hepatocytes in proliferation. IL1ra might be a therapeutic target to improve hepatocyte proliferation.,closed_qa
Surgery for hepatocellular carcinoma: does it improve survival?,"The incidence and mortality of hepatocellular carcinoma (HCC) are increasing in the United States. Whether surgery is associated with improved survival at the population level is relatively unknown. To address this question, we used a population-based cancer registry to compare survival outcomes between patients receiving and not receiving surgery with similar tumor sizes and health status. By using the Surveillance, Epidemiology, and End Results database, we identified HCC patients who had surgically resectable disease as defined by published expert guidelines. After excluding patients with contraindications to surgery, we performed both survival analysis and Cox regression to identify predictors of improved survival. Of the 4008 patients diagnosed with HCC between 1988 and 1998, 417 were candidates for surgical resection. The mean age was 63.6 years; mean tumor size was 3.3 cm. The 5-year overall survival with surgery was 33% with a mean of 47.1 months; without surgery, the 5-year overall survival was 7% with a mean of 17.9 months (P<.001). In the multivariate Cox regression, surgery was significantly associated with improved survival (P<.001). Specifically, patients who received surgery had a 55% decreased rate of death compared with patients who did not have surgery, even after controlling for tumor size, age, sex, and race.","This study shows that surgical therapy is associated with improved survival in patients with unifocal, nonmetastatic HCC tumors<5 cm. If this is confirmed in future studies, efforts should be made to ensure that appropriate patients with resectable HCC receive high-quality care, as well as the opportunity for potentially curative surgery.",closed_qa
Do deaf children with cochlear implants appear to use sentence context to help recognize spoken words?,"The authors investigated the ability of deaf children with cochlear implants (CIs) to use sentence context to facilitate the perception of spoken words. Deaf children with CIs (n = 24) and an age-matched group of children with normal hearing (n = 31) were presented with lexically controlled sentences and were asked to repeat each sentence in its entirety. Performance was analyzed at each of 3 word positions of each sentence (first, second, and third key word). Whereas the children with normal hearing showed robust effects of contextual facilitation-improved speech perception for the final words in a sentence-the deaf children with CIs on average showed no such facilitation. Regression analyses indicated that for the deaf children with CIs, Forward Digit Span scores significantly predicted accuracy scores for all 3 positions, whereas performance on the Stroop Color and Word Test, Children's Version (Golden, Freshwater, & Golden, 2003) predicted how much contextual facilitation was observed at the final word.",The pattern of results suggests that some deaf children with CIs do not use sentence context to improve spoken word recognition. The inability to use sentence context may be due to possible interactions between language experience and cognitive factors that affect the ability to successfully integrate temporal-sequential information in spoken language.,closed_qa
Is there a role for axillary dissection for patients with operable breast cancer in this era of conservatism?,"The trend in breast cancer surgery is toward more conservative operative procedures. The new staging technique of sentinel node biopsy facilitates the identification of pathological node-negative patients in whom axillary dissection may be avoided. However, patients with a positive sentinel node biopsy would require a thorough examination of their nodal status. An axillary -dissection provides good local control, and accurate staging and prognostic information to inform decisions about adjuvant therapy. In addition, the survival benefit of axillary treatment is still debated. The objectives of the present study were to examine the pattern of lymph node metastases in the axilla, and evaluate the merits of a level III axillary dissection. Between June 1997 and May 2000, 308 patients underwent a total of 320 level III dissections as part of their treatment for operable invasive breast cancer. The three axillary levels were marked intraoperatively, and the contents in each level were submitted and examined separately. The patterns of axillary lymph node (ALN) metastases were examined, and factors associated with>or =4 positive nodes, and level III ALN metastases were evaluated by univariate and multivariate analyses. An average of 25 lymph nodes were examined per case (range: 8-54), and using strict anatomical criteria, the mean numbers of ALN found in levels I, II and III were 18 (range: 2-43), 4 (range: 0-19), and 3 (range: 0-11), respectively. Axillary lymph node involvement was found in 45% of the cases (143/320). Of the 143 cases, 78% (n = 111) had involvement of level I nodes only, and 21% (n = 30) had positive ALN in levels II and, or, III, in addition to level I. Involvement of lymph nodes in level II or III without a level I metastasis was found in two cases only (0.6%). By including level II, in addition to level I, in the dissection, four cases (1%) were converted from one to three positive nodes to>or =4 positive nodes (P = 0.64). By the inclusion of level III to a level I and II dissection, three cases (1%) were converted from one to three positive nodes to>or =4 positive nodes (P = 0.74). Involvement of lymph nodes in level III was found in 22 cases (7%), and 51 cases (16%) had>or =4 positive nodes. Palpability of ALN, pathological tumour size, and lymphovascular invasion (LVI), were sig-nificantly associated with level III involvement and>or =4 positive nodes by univariate and multivariate analyses. The frequencies of level III involvement and>or =4 positive nodes in patients with palpable ALN were 22% and 42%, respectively. The corresponding frequencies in patients with a clinically negative axilla, and a primary tumour which was>20 mm and LVI positive, were over 14% and 31%, respectively.","Level III axillary dissection is appropriate for patients with palpable ALN, and in those with a tumour which is>20 mm and LVI positive, principally to reduce the risk of axillary recurrence. Staging accuracy is achieved with a level II dissection, or even a level I dissection alone based on strict anatomical criteria. Sentinel node biopsy is a promising technique in identifying pathological node-positive patients in whom an axillary clearance provides optimal local control and staging information.",closed_qa
Does kainic acid-induced albumin leak across the blood-brain barrier facilitate epileptiform hyperexcitability in limbic regions?,"Systemic administration of kainic acid (KA) is a widely used procedure utilized to develop a model of temporal lobe epilepsy (TLE). Despite its ability to induce status epilepticus (SE) in vivo, KA applied to in vitro preparations induces only interictal-like activity and/or isolated ictal discharges. The possibility that extravasation of the serum protein albumin from the vascular compartment enhances KA-induced brain excitability is investigated here. Epileptiform activity was induced by arterial perfusion of 6 μm KA in the in vitro isolated guinea pig brain preparation. Simultaneous field potential recordings were carried out bilaterally from limbic (CA1, dentate gyrus [DG], and entorhinal cortex) and extralimbic regions (piriform cortex and neocortex). Blood-brain barrier (BBB) breakdown associated with KA-induced epileptiform activity was assessed by parenchymal leakage of intravascular fluorescein-isothiocyanate albumin. Seizure-induced brain inflammation was evaluated by western blot analysis of interleukin (IL)-1β expression in brain tissue. KA infusion caused synchronized activity at 15-30 Hz in limbic (but not extralimbic) cortical areas, associated with a brief, single seizure-like event. A second bolus of KA, 60 min after the induction of the first ictal event, did not further enhance excitability. Perfusion of serum albumin between the two administrations of KA enhanced epileptiform discharges and allowed a recurrent ictal event during the second KA infusion.","Our data show that arterial KA administration selectively alters the synchronization of limbic networks. However, KA is not sufficient to generate recurrent seizures unless serum albumin is co-perfused during KA administration. These findings suggest a role of serum albumin in facilitating acute seizure generation.",closed_qa
Are thyroid-stimulating hormone receptor and thyroid hormone receptors involved in human endometrial physiology?,"To study the expression, distribution, and function of thyroid-stimulating hormone receptor (TSHR) and thyroid hormone receptors (TR) α1, α2, and β1 in human endometrium. Experimental clinical study. University hospital. 31 fertile women. Endometrial biopsy samples obtained throughout the menstrual cycle. Real-time reverse transcriptase polymerase chain reaction, immunohistochemistry and Western blot to study the expression of TSHR, TRα1, TRα2, and TRβ1 messenger RNA (mRNA) and proteins in human endometrium. We found TSHR, TRα1, TRα2 and TRβ1 mRNA and proteins expressed in human endometrium. Immunostaining for TSHR in the luminal epithelium and TRα1 and β1 in the glandular and luminal epithelium increased statistically significantly on luteinizing hormone (LH) days 6 to 9, coinciding with appearance of pinopodes. Endometrial stromal and Ishikawa cells expressed mRNA for TSHR, TR, and iodothyronine deiodinases 1-3. After 48 hours, TSH significantly increased leukemia inhibitory factor (LIF) and LIF receptor (LIFR) messenger RNA (mRNA) in endometrial stromal cells, but decreased their expression in Ishikawa cells. Glucose transporter 1 mRNA was up-regulated by TSH in Ishikawa cells. We found that TSH statistically significantly increased secretion of free triiodothyronine (T3) and total thyroxin (T4) by Ishikawa cells compared with nonstimulated cells.",Thyroid hormones are directly involved in endometrial physiology.,closed_qa
Does phenazopyridine improve catheter discomfort following gynecologic surgery?,"We sought to determine if phenazopyridine improves pain in catheterized patients recovering from gynecologic surgery. This trial randomized 240 adult women, who were undergoing gynecologic surgery and requiring an indwelling Foley catheter, to placebo or phenazopyridine hydrochloride. Group assignment was masked by instillation of orange dye in the Foley bag of both groups. The primary outcome was the mean postoperative visual analog score (VAS). Secondary outcomes were pain medicine utilization and blinding efficacy. In all, 219 patients received study medications (112 phenazopyridine and 107 placebo). There was no significant difference in demographics, procedure type, bladder VAS, overall VAS, and pain medication use. Only 25 of the 45 participants who responded guessed their group assignment correctly, suggesting adequate blinding.",Postoperative VAS scores and pain medicine usage did not change with using routine phenazopyridine following gynecology surgery. Colored dye adequately masks visual side effects of phenazopyridine.,closed_qa
Does stunting mediate the Association between Small-for-Gestational-Age and Postneonatal Mortality?,"In sub-Saharan Africa, one-third of all births are small for gestational age (SGA), and 4.4 million children are stunted; both conditions increase the risk of child mortality. SGA has also been shown to increase the risk of stunting. We tested whether the association between SGA and postneonatal mortality is mediated by stunting. We used longitudinal data from children aged 6 wk to 24 mo (n = 12,155) enrolled in the ZVITAMBO (Zimbabwe Vitamin A for Mothers and Babies) trial. HIV exposure was defined based on maternal HIV status at baseline. SGA was defined as birthweight <10th percentile of the INTERGROWTH-21st (International Fetal and Newborn Growth Consortium for the 21st Century) standards. We used a standard mediation approach by comparing the attenuation of the risk when the mediator was added to the model. We used Cox proportional hazards models first to regress SGA on postneonatal mortality, controlling for age. Stunting (length-for-age z score <-2) was then included in the model to test mediation. Approximately 20% of children were term SGA, and 23% were stunted before their last follow-up visit. In this cohort, 31% of children were exposed to HIV; the HIV-exposed group represented a pooled group of HIV-infected and HIV-exposed but uninfected children. Postneonatal mortality was significantly higher among children born SGA (HR: 1.5; 95% CI: 1.3, 1.7). This association was attenuated and not statistically significant when stunting was included in the model, suggesting a mediation effect (HR: 1.1; 95% CI: 0.91, 1.3). When stratified by HIV exposure status, we observed a significant attenuation of the risk, suggesting mediation, only among HIV-exposed children (model 1, HR: 1.3; 95% CI: 1.1, 1.6; model 2, HR: 1.1; 95% CI: 0.88, 1.3).",This analysis aids in investigating pathways that underlie an observed SGA-mortality relation and may inform survival interventions in undernourished settings.,closed_qa
Does foot cooling reduce exercise-induced hyperthermia in men with spinal cord injury?,"The number of individuals with spinal cord injury (SCI) participating in sports at recreational and elite levels is on the rise. However, loss of autonomic nervous system function below the lesion can compromise thermoregulatory capacity and increase the risk of heat stress relative to able-bodied (AB) individuals. To test the hypotheses that exercise in a heated environment would increase tympanic temperature (TTY) more in individuals with SCI than AB individuals, and that foot cooling using a new device would attenuate the rise in TTY during exercise in both groups. Six subjects with SCI (lesions C5-T5) and six AB controls were tested in a heated environment (means +/- SEM, temperature = 31.8 +/- 0.2 degrees C, humidity = 26 +/- 1%) for 45 min at 66% +/- 5 of arm cranking VO2peak and 30 min of recovery on two separate occasions with foot cooling (FC) or no foot cooling (NC) in randomized order. During exercise and recovery in both trials, SCI TTY was elevated above baseline (P < 0.001) but more so in the NC versus FC trial (1.6 +/- 0.2 degrees C vs 1.0 +/- 0.2 degrees C, respectively, P < 0.005). Within the AB group, TTY was elevated above baseline for both trials (P < 0.001) with peak increases of 0.5 +/- 0.2 degrees C and 0.3 +/- 0.2 degrees C for NC and FC, respectively. TTY, face, and back temperature were higher in both SCI trials compared with AB trials (P < 0.05). Heart rate during exercise and recovery was lower in the SCI FC versus SCI NC (P < 0.05).","These results suggest that extraction of heat through the foot may provide an effective way to manipulate tympanic temperature in individuals with SCI, especially during exercise in the heat.",closed_qa
Is chemotherapy necessary for patients with molar pregnancy and human chorionic gonadotropin serum levels raised but falling at 6months after uterine evacuation?,"To compare the outcomes of Brazilian patients with molar pregnancy who continue human chorionic gonadotropin (hCG) surveillance with those treated with chemotherapy when hCG was still positive, but falling at 6months after uterine evacuation. Retrospective chart review of 12,526 patients with hydatidiform mole treated at one of nine Brazilian reference centers from January 1990 to May 2016. At 6months from uterine evacuation, 96 (0.8%) patients had hCG levels raised but falling. In 15/96 (15.6%) patients, chemotherapy was initiated immediately per FIGO 2000 criteria, while 81/96 (84.4%) patients were managed expectantly. Among the latter, 65/81 (80.2%) achieved spontaneous remission and 16 (19.8%) developed postmolar gestational trophoblastic neoplasia (GTN). Patients who received chemotherapy following expectant management required more time for remission (11 versus 8months; p=0.001), had a greater interval between uterine evacuation and initiating chemotherapy (8 versus 6months; p<0.001), and presented with a median WHO/FIGO risk score higher than women treated according to FIGO 2000 criteria (4 versus 2, p=0.04), but there were no significant differences in the need for multiagent treatment regimens (1/15 versus 3/16 patients, p=0.60). None of the women relapsed, and no deaths occurred in either group.","In order to avoid unnecessary exposure of women to chemotherapy, we no longer follow the FIGO 2000 recommendation to treat all patients with molar pregnancy and hCG raised but falling at 6months after evacuation. Instead, we pursue close hormonal and radiological surveillance as the best strategy for these patients.",closed_qa
Chemical ablation of the gallbladder: is it feasible?,"Transcatheter ablation of the gallbladder has been attempted in animals and humans with a variety of chemical and physical agents. Initial in vitro experiments suggested sodium hydroxide and hydrogen peroxide were more effective sclerosants than previously reported chemical agents. A phase I trial of escalating concentrations of and exposure times to these agents was performed in vivo. Fourteen domestic pigs underwent cholecystostomy tube placement and cystic duct ligation. Two weeks later, sclerosis was performed with sodium hydroxide/ethanol solutions and hydrogen peroxide. Sequential 15- or 30-minute exposures to 0.1 N solutions of sodium hydroxide in ethanol followed by 3% peroxide failed to completely eliminate the pig gallbladder epithelium in vivo; 0.5 N and 1.0 N sodium hydroxide in ethanol caused gross gallbladder hemorrhage, mural dissection, and one perforation. Although the gallbladder lumen was ablated, the gallbladder epithelium was not completely eliminated in any animal.",Chemical ablation of the pig gallbladder epithelium was not feasible in this experimental model.,closed_qa
Are there any effects of Sevoflurane and Desflurane anaesthesia on blood glucose levels in acute hyperglycemic diabetic rats?,"In this study, 30 male Wistar albino rats were included. Diabetes was induced by a single IP injection of streptozotocin. After the effects of chronic diabetes encountered, diabetic rats were randomly assigned into diabetic control (group DC), diabetic hyperglycemia group (group DH), diabetic hyperglycemia group with desflurane (group DH-D), and diabetic hyperglycemia group with sevoflurane (group DH-S) groups. The normoglycemic groups received an IP injection of the same amount of saline. Hyperglycemic diabetic rats were anaesthetized by desflurane 6 % or sevoflurane 2 % at a dose, by which minimal alveolar concentration (MAC) for rats would be one. The drugs were given for 4 hours within 100 % oxygen at a rate of 6 L.min-1. One hour after cessation of inhalation anesthesia, blood glucose levels were determined at 1st, 4th and 24th hours. 24 hours after the anaesthesia. Serum glucose was detected to be significantly lower in Group C, when compared to Groups DC, DH, DH-D and DH-S (p = 0.002, p = 0.001, p = 0.002, p = 0.003, respectively). Blood glucose levels in the diabetic groups were similar at the end of 6 weeks period, after hyperglycemia and anaesthesia induction.","We found out that sevoflurane and desflurane administrations in hyperglycemic rats were both related with insignificant blood glucose level increase at early post anaesthesia period and at post anaesthesia 24th hours. We still think that patients undergoing anaesthesia protocols with acute hyperglycemia need relatively longer follow up periods (Tab. 1, Ref. 28).",closed_qa
Does tamoxifen ameliorate renal tubulointerstitial fibrosis by modulation of estrogen receptor α-mediated transforming growth factor-β1/Smad signaling pathway?,"After insult to the kidney, a renal fibrotic process is initiated with sustained inflammation, fibroblast activation and accumulation of extracellular matrix (ECM). Tamoxifen has been used as an anti-estrogen for the prevention and treatment of breast cancer. In this study, we investigated the protective effects of tamoxifen on unilateral ureteral obstruction (UUO)-induced renal tubulointerstitial fibrosis and its molecular mechanism. Renal fibrosis was induced by UUO in 7-week-old C57BL/6 mice. Tamoxifen (50 mg/kg) was given by oral gavage for 5 days before induction of renal fibrosis. Tamoxifen treatment was continued for 14 days after UUO operation. Histologic changes were examined by periodic acid-Schiff stain and Masson's trichrome stain. Expression of α-smooth muscle actin, vimentin, type I collagen, fibronectin and cell adhesion molecules were evaluated by immunohistochemistry and western blot analysis. We also evaluated the effect of tamoxifen on estrogen receptor (ER)-α-mediated transforming growth factor (TGF)-β1/Smad signaling pathway in vitro. Renal tubular injury and fibrosis were increased after UUO. Tamoxifen treatment significantly decreased UUO-induced renal tubular injury and fibrosis. Renal fibroblast activation, ECM deposition and inflammation were significantly increased after ureteral ligation. However, tamoxifen treatment significantly decreased UUO-induced renal fibroblast activation, ECM deposition and inflammation by suppression of TGF-β1/Smad signaling pathway in vivo. Tamoxifen decreased TGF-β1-induced fibroblast proliferation and cell migration by modulating ERα-mediated TGF-β1/Smad signaling pathway in vitro.",These findings indicate that tamoxifen has a beneficial effect on UUO-induced tubulointerstitial fibrosis by suppression of renal fibroblast activation via modulation of ERα-mediated renal TGF-β1/Smad signaling pathway.,closed_qa
"Are multiple Crimean-Congo hemorrhagic fever virus strains associated with disease outbreaks in Sudan , 2008-2009?","Crimean-Congo hemorrhagic fever (CCHF) activity has recently been detected in the Kordufan region of Sudan. Since 2008, several sporadic cases and nosocomial outbreaks associated with high case-fatality have been reported in villages and rural hospitals in the region. In the present study, we describe a cluster of cases occurring in June 2009 in Dunkop village, Abyei District, South Kordufan, Sudan. Seven CCHF cases were involved in the outbreak; however, clinical specimens could be collected from only two patients, both of whom were confirmed as acute CCHF cases using CCHF-specific reverse transcriptase polymerase chain reaction (RT-PCR). Phylogenetic analysis of the complete S, M, and L segment sequences places the Abyei strain of CCHF virus in Group III, a virus group containing strains from various countries across Africa, including Sudan, South Africa, Mauritania, and Nigeria. The Abyei strain detected in 2009 is genetically distinct from the recently described 2008 Sudanese CCHF virus strains (Al-fulah 3 and 4), and the Abyei strain S and L segments closely match those of CCHF virus strain ArD39554 from Mauritania.",The present investigation illustrates that multiple CCHF virus lineages are circulating in the Kordufan region of Sudan and are associated with recent outbreaks of the disease occurring during 2008-2009.,closed_qa
Comparing self-reported optometric dry eye clinical practices in Australia and the United Kingdom: is there scope for practice improvement?,"The aim of this study was to compare the self-reported clinical practice behaviours of optometrists in Australia and the United Kingdom (UK) with respect to the diagnosis and management of dry eye disease (DED). We also sought to examine whether the reported practices of clinicians in each region were consistent with current evidence-based recommendations for DED. An online survey was distributed to optometrists (Australia, n = 654; UK, n = 1006). Respondents provided information about practice modality, years of optometric experience, preferred diagnostic and management strategies (stratified by DED severity) and the information/evidence base used to guide patient care. A total of 317 completed surveys were received (response rates, Australia: 21%, UK: 17%). Optometrists in both regions demonstrated similarly strong knowledge of tear film assessment and adopted both subjective and objective techniques to diagnose DED. Patient symptoms were considered the most important, valuable and commonly performed assessment by both Australian and UK respondents. UK practitioners valued and utilised conjunctival signs and tear meniscus height assessments more than Australian optometrists (p<0.05), who placed relatively greater emphasis on sodium fluorescein tear break-up time to diagnose DED (p<0.05). Clinicians in both locations tailored DED therapy to severity. While practitioners in both regions predominantly managed mild DED with eyelid hygiene and tear supplementation, Australian optometrists indicated prescribing topical corticosteroid therapy significantly more often than UK practitioners for moderate (14% vs 6%) and severe (52% vs 8%) disease (p<0.05). The major source of information used to guide practitioners' dry eye management practices was continuing education conferences.","This study highlights a range of parallels and divergences in dry eye clinical practice between Australian and UK optometrists. Our data identify both areas of strength in the adoption of evidence-based practice, as well as some potential to improve international translation of dry eye research evidence into practice.",closed_qa
